名次,昵称,组别,总分,最后提交时间
1,sjfh #囯內,已封禁,4358,2024-10-17 04:56:18
2,CLRT #奖一个小米手环,已封禁,4142,2024-10-17 04:44:30
3,Colma,已封禁,2162,2024-10-16 21:25:59
4,Eureka,已封禁,2019,2024-10-17 10:39:06
5,odysseus,已封禁,1712,2024-10-17 11:40:02
6,huige233 #b50里有世终 #打ctf不如睡觉,已封禁,1581,2024-10-14 16:20:09
7,Ren #的牛牛像薯条 虽然软软的吃起来香香,已封禁,1389,2024-10-18 01:52:10
8,Cat^2Fish #🐱🐱🐟 is cute,已封禁,1382,2024-10-13 15:51:22
9,slowpath,已封禁,1314,2024-10-14 14:52:58
10,Luckyblock #我不是来打ACM的吗？,已封禁,1298,2024-10-16 08:18:27
11,baooo,已封禁,1236,2024-10-18 21:35:45
12,joker,已封禁,1104,2024-10-16 18:50:38
13,dongloong,已封禁,973,2024-10-16 21:04:16
14,tyy爱赤石,已封禁,973,2024-10-17 11:18:01
15,alice,已封禁,957,2024-10-16 20:57:23
16,紫荆园食堂红色圆圈炒宫爆八十一,已封禁,913,2024-10-13 13:19:09
17,yihu,已封禁,847,2024-10-15 16:01:33
18,KOKUMI-RESURRECTION-,已封禁,800,2024-10-16 09:40:57
19,Maeo,已封禁,774,2024-10-15 15:15:32
20,ctrla,已封禁,746,2024-10-18 06:45:56
21,tgs9311,已封禁,717,2024-10-14 20:40:25
22,Lee,已封禁,680,2024-10-15 11:58:10
23,鸡毛菜,已封禁,622,2024-10-15 15:19:44
24,Nanian233,已封禁,615,2024-10-15 11:08:32
25,流浪仔,已封禁,593,2024-10-15 19:03:36
26,ノロニ,已封禁,577,2024-10-14 22:23:13
27,sha1,已封禁,567,2024-10-12 16:30:10
28,larryzhong,已封禁,565,2024-10-13 19:21:37
29,BagPipeOuO,已封禁,549,2024-10-15 20:24:59
30,（已重置）,已封禁,529,2024-10-12 20:24:15
31,Nanian233,已封禁,484,2024-10-14 13:15:38
32,Anchorite,已封禁,477,2024-10-16 14:35:26
33,一个坑,已封禁,411,2024-10-13 12:21:06
34,北极仙翁,已封禁,397,2024-10-13 02:54:45
35,jingheng,已封禁,397,2024-10-15 16:01:58
36,罗小黑,已封禁,374,2024-10-12 22:04:40
37,sl,已封禁,370,2024-10-15 21:31:46
38,LancyMorry,已封禁,334,2024-10-15 11:49:44
39,Satori5ama,已封禁,330,2024-10-12 18:00:31
40,yangguanyeyeye,已封禁,326,2024-10-19 10:35:44
41,nicholasdezai,已封禁,294,2024-10-13 00:36:42
42,芙宁娜过来玩游戏啦!,已封禁,294,2024-10-13 09:51:55
43,RongYan,已封禁,294,2024-10-14 09:12:32
44,qqqqxxxx,已封禁,260,2024-10-17 16:39:49
45,手擀面,已封禁,238,2024-10-14 16:44:22
46,Palve #签完到我就跑,已封禁,236,2024-10-12 17:16:15
47,abalone_27,已封禁,236,2024-10-13 00:05:06
48,shenzexi,已封禁,232,2024-10-15 15:05:24
49,听风,已封禁,225,2024-10-14 17:38:53
50,retort,已封禁,205,2024-10-12 19:59:03
51,cyc,已封禁,205,2024-10-13 01:01:14
52,Frandka_02,已封禁,202,2024-10-17 14:09:05
53,畏惧了,已封禁,194,2024-10-14 17:34:16
54,江淮妤,已封禁,194,2024-10-16 16:41:00
55,XBWCC,已封禁,183,2024-10-17 16:11:15
56,您好,已封禁,180,2024-10-12 20:50:58
57,南城,已封禁,180,2024-10-14 01:05:08
58,🤔,已封禁,180,2024-10-14 19:29:03
59,Heaven_Lord,已封禁,180,2024-10-15 20:29:11
60,liu,已封禁,180,2024-10-18 11:18:58
61,abcde,已封禁,179,2024-10-17 13:55:48
62,uigykuf,已封禁,169,2024-10-17 15:51:08
63,azwwwww,已封禁,145,2024-10-12 15:10:48
64,艾斯德斯电弧,已封禁,145,2024-10-16 08:45:41
65,Moo,已封禁,140,2024-10-15 01:22:30
66,5m10v3,已封禁,123,2024-10-12 13:00:11
67,yangguangmamama,已封禁,104,2024-10-13 20:28:03
68,Simon1028,已封禁,104,2024-10-14 14:57:42
69,奥利安费,已封禁,103,2024-10-12 13:23:51
70,x,已封禁,90,2024-10-17 12:28:30
71,Jijoy,已封禁,87,2024-10-12 12:30:03
72,Distance,已封禁,87,2024-10-12 12:31:39
73,zcy,已封禁,87,2024-10-13 13:07:33
74,KyleLi,已封禁,87,2024-10-14 11:36:36
75,YOUTH,已封禁,87,2024-10-15 17:31:17
76,清水煮罗卜,已封禁,83,2024-10-17 14:19:34
77,Raven#Tod,已封禁,60,2024-10-18 18:10:05
78,xlan,已封禁,31,2024-10-12 13:00:10
79,【广告位招租】,已封禁,31,2024-10-12 13:55:32
80,可乐鸡腿儿,已封禁,31,2024-10-12 14:11:22
81,red0,已封禁,31,2024-10-12 15:06:35
82,不会飞的大胖鹅,已封禁,31,2024-10-12 20:31:10
83,yjj,已封禁,31,2024-10-13 21:59:29
84,FrandKa,已封禁,31,2024-10-14 10:26:28
85,lyq,已封禁,31,2024-10-14 23:12:30
86,YOUTH,已封禁,31,2024-10-15 15:58:59
87,Ever727,已封禁,31,2024-10-17 11:44:51
88,Clever_Jimmy,已封禁,31,2024-10-17 11:47:20
