题目,Flag,一血获得者,组别,提交时间
[tutorial-signin] 签到（囯内）,/,Ivecia,校外选手,2024-10-12 12:00:56
[misc-trivia] 清北问答,/,Marvin #不会逆向,北京大学,2024-10-12 14:26:10
[misc-trivia] 清北问答,Flag 1,0x0d000721,校外选手,2024-10-12 12:19:52
[misc-trivia] 清北问答,Flag 2,Marvin #不会逆向,北京大学,2024-10-12 14:26:10
[misc-llm] 大模型模型虎视眈眈,/,ZianTT #LLM大师,校外选手,2024-10-12 12:29:52
[misc-llm] 大模型模型虎视眈眈,50% 4.0，50% 0.0,zyy,北京大学,2024-10-12 12:19:06
[misc-llm] 大模型模型虎视眈眈,The Shawshank Redemption,ZianTT #LLM大师,校外选手,2024-10-12 12:29:52
[misc-erail] 新穷铁道,/,luoingly #洛樱 #CTF好难啊不会做怎么办,校外选手,2024-10-13 12:40:36
[misc-sunshine] 熙熙攘攘我们的天才吧,/,加大号的猫 🐱🏳️‍⚧️ #不懂算法 #reimu.moe,校外选手,2024-10-13 21:10:25
[misc-sunshine] 熙熙攘攘我们的天才吧,Magic Keyboard,Nano #偷个一血就跑,校外选手,2024-10-12 18:03:04
[misc-sunshine] 熙熙攘攘我们的天才吧,Vision Pro,RenzukaCtone,校外选手,2024-10-12 21:19:11
[misc-sunshine] 熙熙攘攘我们的天才吧,AirPods Max,加大号的猫 🐱🏳️‍⚧️ #不懂算法 #reimu.moe,校外选手,2024-10-13 21:10:25
[misc-mario] TAS概论大作业,/,Sweetlemon #她一定是世上最幸福的女孩,清华大学,2024-10-15 13:19:03
[misc-mario] TAS概论大作业,你过关,Xzonn #ReFantazio,北京大学,2024-10-12 13:36:05
[misc-mario] TAS概论大作业,只有神知道的世界,水帝WaterKing #不会做,北京大学,2024-10-12 14:00:28
[misc-mario] TAS概论大作业,诗人握持,Sweetlemon #她一定是世上最幸福的女孩,清华大学,2024-10-15 13:19:03
[web-copy] 验证码,/,Xzonn #ReFantazio,北京大学,2024-10-12 12:27:13
[web-copy] 验证码,Hard,whitewater #github.com/lawvs,校外选手,2024-10-12 12:02:44
[web-copy] 验证码,Expert,Xzonn #ReFantazio,北京大学,2024-10-12 12:27:13
[web-ppl] 概率题目概率过,/,idawnlight # 真的只会 web,校外选手,2024-10-13 14:00:38
[web-ppl] 概率题目概率过,前端开发,idawnlight # 真的只会 web,校外选手,2024-10-13 14:00:38
[web-ppl] 概率题目概率过,后端开发,idawnlight # 真的只会 web,校外选手,2024-10-13 13:43:18
[web-memos] ICS笑传之查查表,/,Ishisashi #和CT打一辈子CTF #想阿冯,校外选手,2024-10-12 18:22:27
