名次,昵称,组别,总分,最后提交时间
1,Aqua Cat #喵喵喵???,校外选手,5901,2024-10-19 11:56:33
2,Fancia Dream #早安,清华大学,5761,2024-10-19 00:24:41
3,intlsy # Kiana Kaslana,北京大学,5376,2024-10-19 11:58:03
4,ouuan #wp交的pdf但博客有源码,清华大学,5358,2024-10-19 11:48:14
5,RichardK #做不出 web,北京大学,5338,2024-10-19 03:12:43
6,Lost-MSth,北京大学,5250,2024-10-18 18:00:44
7,kinami # 关注谜协谢谢喵,北京大学,5212,2024-10-19 06:56:54
8,Lysithea #明年坐校外那桌了/お幸せに,北京大学,5212,2024-10-19 11:25:47
9,undef_baka #YUKI.N,校外选手,4789,2024-10-18 18:01:45
10,我褪色了 #明年再来,北京大学,4595,2024-10-18 14:43:17
11,k0a1a,北京大学,4442,2024-10-19 10:54:35
12,零基础 superay 认真玩玩,清华大学,4258,2024-10-19 02:02:04
13,yyyr #不会algo #关注@喵de盎然君 谢谢喵,校外选手,4168,2024-10-18 23:00:51
14,Flag🚩Say🎤Maybe,北京大学,4110,2024-10-19 11:52:48
15,Xzonn #ReFantazio,北京大学,4100,2024-10-18 11:55:05
16,情緒ちゃん大好き🥰 # b23.tv/5DSEYsw,北京大学,4096,2024-10-19 06:30:14
17,BlueG #And Revive The Flag,北京大学（新生）,4054,2024-10-18 19:17:41
18,1111,北京大学,4014,2024-10-18 17:20:44
19,肚圆圆食堂,校外选手,4002,2024-10-19 11:44:24
20,天青狼,清华大学,3979,2024-10-19 11:31:48
21,DarkTooth,清华大学,3910,2024-10-19 05:36:14
22,Marvin #不会逆向,北京大学,3852,2024-10-18 20:25:25
23,tony,清华大学,3831,2024-10-19 04:11:58
24,dblark # Am I only fallin' down,北京大学（新生）,3827,2024-10-19 11:52:13
25,BOTwAn #爱城华恋喜欢神乐光🎵,北京大学,3789,2024-10-19 04:16:37
26,stuuupidcat,北京大学,3764,2024-10-19 11:54:20
27,000lbh #遗憾错失二等奖,北京大学,3753,2024-10-19 11:50:54
28,ajguthahbzzb,北京大学,3736,2024-10-19 11:50:13
29,LZDQ #狗住2=了！,清华大学（新生）,3727,2024-10-18 00:49:17
30,nynauy,清华大学,3603,2024-10-19 07:39:31
31,闭灯s #想学Web,校外选手,3556,2024-10-17 02:23:27
32,加大号的猫 🐱🏳️‍⚧️ #不懂算法 #reimu.moe,校外选手,3542,2024-10-17 17:14:56
33,fw #fw,北京大学,3514,2024-10-19 07:47:12
34,Vursc #摆烂,清华大学（新生）,3441,2024-10-19 08:51:56
35,心都黒ろ #（囯外）,校外选手,3395,2024-10-19 05:21:27
36,JingBh #只会web #github.com/JingBh,校外选手,3387,2024-10-17 13:57:56
37,Sweetlemon #她一定是世上最幸福的女孩,清华大学,3379,2024-10-18 22:36:14
38,cuxnap #（囯內）,清华大学,3349,2024-10-18 13:33:20
39,ShellWen #动物园里的动物都是福瑞扮的#,校外选手,3346,2024-10-18 13:44:53
40,luoingly #洛樱 #CTF好难啊不会做怎么办,校外选手,3305,2024-10-17 15:25:33
41,zyy,北京大学,3297,2024-10-18 21:50:06
42,Rika #mzk5箱好吃爱吃多吃,清华大学,3209,2024-10-17 18:21:26
43,songhongyi #萌新想拿纪念品，好哥哥们轻虐,校外选手,3151,2024-10-18 08:19:03
44,Ishisashi #和CT打一辈子CTF #想阿冯,校外选手,3127,2024-10-19 11:47:51
45,Samuel K #CTF从入门到入坟😢,清华大学,3112,2024-10-17 11:58:54
46,zhc7,清华大学,3021,2024-10-18 17:44:44
47,idawnlight # 真的只会 web,校外选手,3001,2024-10-17 13:18:03
48,哦那是真的牛逼,北京大学,2938,2024-10-17 11:11:57
49,Testla,校外选手,2936,2024-10-19 04:12:24
50,柏园猫,校外选手,2924,2024-10-18 13:28:16
51,sln.1550,校外选手,2827,2024-10-17 19:04:07
52,Cinnabar #梦想AK MISC #熬不动了,北京大学,2773,2024-10-18 20:43:58
53,WeiBaYaoYao,校外选手,2669,2024-10-16 22:04:00
54,ooooohhhhhh,北京大学,2666,2024-10-18 02:47:02
55,Утаа манан #虽然但是这不是俄语,清华大学,2618,2024-10-19 11:56:08
56,LetianYuan # 一叶飘零的粉丝,校外选手,2610,2024-10-18 16:29:39
57,a1paca #Link粉丝,校外选手,2606,2024-10-17 17:46:21
58,hhh #不屯flag,校外选手,2598,2024-10-16 02:34:42
59,# #BEYOND THE MEMORIES,北京大学,2579,2024-10-19 03:00:39
60,tpob #名落孙山！,清华大学,2560,2024-10-19 11:35:59
61,----之前的优胜奖线---- #真的不会Dinic😭,北京大学,2538,2024-10-19 11:53:10
62,land-forest,北京大学,2531,2024-10-18 00:12:50
63,yemaster #flag和她皆不可得,校外选手,2530,2024-10-19 09:03:01
64,wofiery,北京大学（新生）,2517,2024-10-19 08:18:45
65,一只鸭梨 #希望下次不再是萌新形态,北京大学,2515,2024-10-19 00:15:13
66,神里绫华,北京大学,2509,2024-10-19 11:51:27
67,Varadarajan,北京大学,2462,2024-10-19 00:11:47
68,nyyyddddn #私の0721を見てください！,校外选手,2429,2024-10-19 01:40:39
69,pthsm #第二次优胜奖第一名,北京大学,2379,2024-10-18 13:04:20
70,SeaMan,北京大学,2350,2024-10-18 21:03:22
71,夏鸢 #月下梦中思鸢影 #想追求可爱却是原罪,校外选手,2335,2024-10-18 23:49:16
72,rogeryoungh,校外选手,2307,2024-10-19 00:36:38
73,lyazj,北京大学,2275,2024-10-18 04:30:50
74,kaede,校外选手,2274,2024-10-16 03:33:02
75,JOHNKRAM,校外选手,2264,2024-10-19 01:26:22
76,wind_mask,校外选手,2260,2024-10-18 22:24:56
77,GregTao,校外选手,2250,2024-10-19 00:09:10
78,poco_scherzoso # 明年校外再见 ! ,北京大学,2239,2024-10-19 11:01:46
79,tricyzhkx,北京大学（新生）,2203,2024-10-19 01:02:35
80,Shameimaru Aya,北京大学,2147,2024-10-18 10:13:59
81,风的影子,校外选手,2146,2024-10-18 06:54:18
82,crijew,清华大学,2103,2024-10-17 01:10:54
83,e,校外选手,2083,2024-10-19 03:52:47
84,葛城莉莉娅的老公 #学マス,校外选手,2068,2024-10-17 15:03:11
85,天湖,清华大学（新生）,2047,2024-10-17 13:16:23
86,LTC,校外选手,2036,2024-10-17 22:29:11
87,fantasy_sky,校外选手,2031,2024-10-18 19:19:26
88,Xtzzzz #b50有白阳炎 #别卷了我服了,北京大学,2024,2024-10-17 16:39:23
89,Yomi@Favorite厨,清华大学,2010,2024-10-17 11:24:24
90,RayW,北京大学,2006,2024-10-17 23:49:30
91,新世纪GPT战士 #战不了一点,北京大学,1979,2024-10-18 01:14:20
92,kunyi #到此一游,北京大学（新生）,1959,2024-10-17 22:45:13
93,GWDx,校外选手,1955,2024-10-19 11:55:11
94,🦐,校外选手,1941,2024-10-13 06:19:58
95,weifeng #2356,校外选手,1919,2024-10-19 01:42:54
96,RenzukaCtone,校外选手,1917,2024-10-18 13:45:48
97,WeissSchnee #拼尽全力无法战胜,清华大学,1856,2024-10-16 22:29:04
98,sxzz #github.com/sxzz,校外选手,1855,2024-10-18 01:26:01
99,认真了喵 #别卷了喵,北京大学,1781,2024-10-19 11:00:27
100,syksykCCC,北京大学,1771,2024-10-19 10:28:53
101,keyijing,北京大学（新生）,1764,2024-10-17 01:37:27
102,en,北京大学,1762,2024-10-17 01:41:14
103,leason,北京大学,1751,2024-10-19 03:39:30
104,flykai,校外选手,1750,2024-10-18 13:03:08
