名次,昵称,组别,总分,最后提交时间
1,Fancia Dream #早安,,5761,2024-10-19 00:24:41
2,ouuan #wp交的pdf但博客有源码,,5358,2024-10-19 11:48:14
3,零基础 superay 认真玩玩,,4258,2024-10-19 02:02:04
4,天青狼,,3979,2024-10-19 11:31:48
5,DarkTooth,,3910,2024-10-19 05:36:14
6,tony,,3831,2024-10-19 04:11:58
7,LZDQ #狗住2=了！,（新生）,3727,2024-10-18 00:49:17
8,nynauy,,3603,2024-10-19 07:39:31
9,Vursc #摆烂,（新生）,3441,2024-10-19 08:51:56
10,Sweetlemon #她一定是世上最幸福的女孩,,3379,2024-10-18 22:36:14
11,cuxnap #（囯內）,,3349,2024-10-18 13:33:20
12,Rika #mzk5箱好吃爱吃多吃,,3209,2024-10-17 18:21:26
13,Samuel K #CTF从入门到入坟😢,,3112,2024-10-17 11:58:54
14,zhc7,,3021,2024-10-18 17:44:44
15,Утаа манан #虽然但是这不是俄语,,2618,2024-10-19 11:56:08
16,tpob #名落孙山！,,2560,2024-10-19 11:35:59
17,crijew,,2103,2024-10-17 01:10:54
18,天湖,（新生）,2047,2024-10-17 13:16:23
19,Yomi@Favorite厨,,2010,2024-10-17 11:24:24
20,WeissSchnee #拼尽全力无法战胜,,1856,2024-10-16 22:29:04
21,千早爱音 # 🎸,,1630,2024-10-17 14:00:51
22,woc,,1624,2024-10-17 05:38:23
23,NinePointEight,,1617,2024-10-17 19:51:20
24,xqznhsr,,1608,2024-10-18 12:43:59
25,asmend,（新生）,1584,2024-10-13 13:12:00
26,whiteqwq,（新生）,1564,2024-10-13 21:54:29
27,Jacder,,1518,2024-10-17 19:50:33
28,ONLOX,,1462,2024-10-17 23:31:41
29,Drage,,1449,2024-10-17 20:23:09
30,kemurikinoko,,1369,2024-10-19 01:20:57
31,testtesttest,,1293,2024-10-19 09:54:43
32,bear,（新生）,1212,2024-10-17 00:37:59
33,Rickkk,,1018,2024-10-18 10:35:49
34,CyberCraze,（新生）,941,2024-10-14 13:30:37
35,951413,,934,2024-10-17 09:50:16
36,Terry C.C.I.,,919,2024-10-13 23:11:22
37,Evan,（新生）,889,2024-10-18 14:23:43
38,LeSnow #AKA.宇佐见莲子,,863,2024-10-13 11:12:27
39,P31pr,,836,2024-10-17 13:32:26
40,xiaoji,,805,2024-10-16 01:49:05
41,Wh1t3zZ,,793,2024-10-18 20:31:59
42,你是一袋猫粮,（新生）,748,2024-10-17 12:56:54
43,Teabtreah,,730,2024-10-14 10:38:15
44,萌新一枚 #真的吗,,717,2024-10-18 23:12:05
45,whx1003,,663,2024-10-16 02:02:32
46,little_sun,,653,2024-10-17 15:49:53
47,猿宝10010,,630,2024-10-16 19:32:39
48,发来哥,,630,2024-10-16 20:12:21
49,caeious,,618,2024-10-17 21:07:00
50,vjwcuvc,,607,2024-10-14 21:54:49
51,MerCurY5002,（新生）,555,2024-10-14 12:53:04
52,Sheree,,497,2024-10-14 16:46:22
53,克里斯蒂安埃里克森,,484,2024-10-16 03:23:51
54,Coinc1dens #什么原来领奖可以不止一届吗,,477,2024-10-15 18:05:51
55,Adward,,459,2024-10-19 00:48:31
56,Jake,,446,2024-10-12 16:11:43
57,noki,,435,2024-10-16 20:15:46
58,MonsinCoicoi,,432,2024-10-13 20:33:30
59,Early,,388,2024-10-16 18:30:32
60,TlQ0OQ,,380,2024-10-17 13:06:26
61,hsj24,（新生）,374,2024-10-13 01:43:14
62,苏继荣,（新生）,374,2024-10-13 15:48:12
63,kkk,,363,2024-10-17 15:38:04
64,cc789,,355,2024-10-14 12:01:09
65,FayeHJY,,336,2024-10-15 11:25:42
66,fanco,,330,2024-10-12 23:23:58
67,tonyzhao,,311,2024-10-15 14:28:57
68,whqsing,（新生）,302,2024-10-13 16:36:20
69,NetullaToast,,294,2024-10-13 01:06:15
70,夏天雨,（新生）,294,2024-10-14 00:49:27
71,Zyyy,,283,2024-10-12 17:16:52
72,Ciallo,（新生）,254,2024-10-13 00:05:24
73,Pebbles,,245,2024-10-17 15:56:47
74,萌新选手,,238,2024-10-12 16:34:39
75,lsq,,236,2024-10-12 14:54:31
76,留件好,,236,2024-10-13 13:15:39
77,风逐蓝天,,236,2024-10-13 19:58:29
78,ZiiiHe,,218,2024-10-12 13:37:56
79,76x,,218,2024-10-12 17:40:32
80,冰风,（新生）,206,2024-10-17 17:08:39
81,101001,,180,2024-10-12 12:42:52
82,dragonfly,,180,2024-10-13 16:46:02
83,www,,180,2024-10-14 14:29:06
84,Marin,,180,2024-10-14 15:14:59
85,zhizhi,,180,2024-10-14 22:37:20
86,z,,180,2024-10-15 10:40:49
87,7103,,180,2024-10-16 16:04:54
88,aikx,,180,2024-10-16 17:07:49
89,IcySky,,162,2024-10-13 20:38:33
90,BTWC,,160,2024-10-12 20:03:45
91,AtsumiOnsen,,160,2024-10-16 18:00:45
92,纱雾,,149,2024-10-12 22:05:50
93,Je1ghtxyuN #泽瑞啦,（新生）,145,2024-10-13 15:18:35
94,zgdllt,（新生）,145,2024-10-13 19:52:59
95,xiahy23,,145,2024-10-13 20:37:47
96,林澈,,145,2024-10-14 11:20:45
97,k4ra5u #那咋办嘛,,134,2024-10-16 13:07:10
98,乐文韬,（新生）,125,2024-10-12 19:49:34
99,Gary,,125,2024-10-13 14:04:11
100,Leo,（新生）,111,2024-10-17 18:23:22
